"","Open","High","Low","Close","Volume (BTC)","Volume (Currency)","Weighted Price"
"1",4.88,4.91,4.88,4.91,15.1,73.811,4.88814569536
"2",4.91,4.91,4.83,4.83,7.74,37.5414,4.85031007752
"3",4.83,4.9,4.83,4.9,20.71605,101.454855,4.89740346253
"4",4.9,4.93,4.9,4.93,12.38095,60.905655,4.91930384987
"5",4.99,4.99,4.97,4.97,10,49.8,4.98
"6",4.98,5,4.98,5,18.5,92.38,4.99351351351
"7",0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0
"10",4.98,5.01,4.98,4.99,14.12,70.4132,4.98677053824
"11",5.02,5.02,5.02,5.02,0.917,4.60334,5.02
"12",5.02,5.04,4.99,5.02,24.4446,122.785624,5.0230162899
"13",5.02,5.02,5,5,7.487,37.5395,5.01395752638
"14",4.98,5.04,4.97,5.04,15.894,79.85624,5.02430099409
"15",5.04,5.04,5.04,5.04,0.202,1.01808,5.04
"16",0,0,0,0,0,0,0
"17",4.97,4.97,4.97,4.97,0.09412003,0.4677765491,4.97
"18",5.05,5.05,5.05,5.05,4.7,23.735,5.05
"19",5.07,5.12,5.07,5.12,26.396,134.40252,5.09177602667
"20",5.12,5.15,5.12,5.15,11.431,58.75153,5.13966669583
"21",5.15,5.15,5.15,5.15,0.885,4.55775,5.15
"22",5.15,5.18,5.15,5.18,7.659,39.49998,5.15732863298
"23",5.18,5.38,5.18,5.38,22.58515385,119.13902002,5.27510331837
"24",0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0
"26",5.48,5.48,5.48,5.48,5.5,30.14,5.48
"27",0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0
"29",5.65,5.65,5.56,5.65,6.69,37.7085,5.6365470852
"30",5.57,5.68,5.57,5.68,27.6109,154.809912,5.60684048691
"31",5.68,5.92,5.68,5.92,11.9311,69.996728,5.86674556411
"32",5.91,5.92,5.91,5.92,33.2,196.472,5.9178313253
"33",5.88,5.97,5.88,5.97,24.7972939,146.947844583,5.92596293675
"34",0,0,0,0,0,0,0
"35",5.97,6.62,5.97,6.53,8.6027061,56.274155417,6.54144809353
